序号,书名,链接,作者,评分,评价人数,简介
107,13 67,陳浩基 / 皇冠文化出版有限公司 / 2014-6-9 / NT$350,9.1,23443,一颗纯美纯善、永难泯灭的童心,https://book.douban.com/subject/25897884/
108,我的天才女友,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,8.7,120764,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,https://book.douban.com/subject/26878124/
109,这些人，那些事,吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8,68170,平淡叙述下的惊心动魄,https://book.douban.com/subject/6388661/
110,小径分岔的花园,[阿根廷] 豪·路·博尔赫斯 / 王永年 / 上海译文出版社 / 2015-7 / 23.00,8.9,49129,一个谜语，谜底正是时间,https://book.douban.com/subject/25796120/
111,檀香刑,莫言 / 浙江文艺出版社 / 2017-1 / 56.00元,9.3,34242,材质、结构、风格和银幕剧作的原理,https://book.douban.com/subject/26905337/
112,一句顶一万句,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,8.8,88602,一句胜过千年,https://book.douban.com/subject/3633461/
113,地下室手记,(俄罗斯) 陀思妥耶夫斯基 / 曾思艺 / 浙江文艺出版社 / 2020-5 / 39.8,9.2,27476,我们好象在池塘的水底，从一个月亮走向另一个月亮,https://book.douban.com/subject/34990839/
114,2001：太空漫游,[英] 阿瑟·克拉克 / 郝明义 / 上海文艺出版社 / 2019-4-10 / 62.00元,9.3,23410,我来自一个极少有人能想象的家庭，教育给了我新世界,https://book.douban.com/subject/30471298/
115,经济学原理（上下）,[美] 曼昆 / 梁小民 / 机械工业出版社 / 2003-8 / 88.00元,9.1,22690,经济学家们的世界观,https://book.douban.com/subject/1028842/
116,阿勒泰的角落,李娟 / 万卷出版公司 / 2010-6 / 25.00元,9.1,22452,白雪和阳光，青草和白桦林,https://book.douban.com/subject/4881850/
117,海的女儿,安徒生 / 叶君健 / 上海译文出版社 / 1978年6月 / 0.43,9.1,25175,钱穆中国通史,https://book.douban.com/subject/1765512/
118,安娜·卡列尼娜,[俄] 列夫·托尔斯泰 / 草婴 / 上海文艺出版社 / 2007-8 / 37.00元,9.2,31324,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,https://book.douban.com/subject/2253380/
119,全球通史(上),[美]斯塔夫里阿诺斯 / 吴象婴 / 北京大学出版社 / 2006-1-10 / 42.00,9.2,19635,从遥远的撒哈拉到敦煌戈壁,https://book.douban.com/subject/1922216/
120,苏菲的世界,[挪] 乔斯坦·贾德 / 萧宝森 / 作家出版社 / 2007-10 / 26.00元,8.8,60094,哲学启蒙书,https://book.douban.com/subject/2284311/
121,爱的艺术,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,8.8,51691,谦恭地、勇敢地、真诚地和有纪律地爱他人,https://book.douban.com/subject/3026879/
122,一个陌生女人的来信,[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7,149127,暗恋的极致,https://book.douban.com/subject/2154960/
123,温柔的夜,三毛 / 北京十月文艺出版社 / 2007-5 / 28.00元,9.1,24206,三毛在加纳利群岛的生活,https://book.douban.com/subject/2068249/
124,史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,8.8,62205,完美主义者的最高形态,https://book.douban.com/subject/6798611/
125,我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇 / 方祖芳 / 花城出版社 / 2014-6-15 / 34.80元,9.2,20659,真实记录切尔诺贝利核灾难事件,https://book.douban.com/subject/25884880/
126,德米安,[德] 赫尔曼·黑塞 / 丁君君 / 上海人民出版社 / 2009-3 / 25.00元,8.9,39907,少年辛克莱寻找通向自身之路的艰辛历程,https://book.douban.com/subject/3578470/
127,霸王别姬,李碧华 / 人民文学出版社 / 1999-1 / 10.20元,9.1,23003,人间，只是抹去了脂粉的脸,https://book.douban.com/subject/1088711/
128,翦商,李硕 / 广西师范大学出版社 / 2022-10 / 99.00元,9.0,31453,男孩桑桑刻骨铭心、终身难忘的六年小学生活,https://book.douban.com/subject/36096304/
129,半生缘,张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.60元,9.1,33836,面对强大的对手，明知不敌，也要毅然亮剑,https://book.douban.com/subject/10757938/
130,冰与火之歌,[美]乔治·R.R.马丁 / 谭光磊 / 重庆出版社 / 2013-10-1 / 330.00元,9.5,19571,乔治·R·R·马丁史诗奇幻小说,https://book.douban.com/subject/25826936/
131,恶意,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11 / 39.50元,8.7,138308,量子之外，没有真相,https://book.douban.com/subject/26877752/
132,我的阿勒泰,李娟 / 云南人民出版社 / 2010-7 / 25.00元,8.9,30728,描写疆北阿勒泰地区生活和风情的原生态散文集,https://book.douban.com/subject/4884218/
133,古文观止,吴楚材 / 中华书局 / 1987-1-1 / 21.00元,9.1,19489,收录自先秦至明末的散文二百二十二篇,https://book.douban.com/subject/1014561/
134,天朝的崩溃,茅海建 / 生活·读书·新知三联书店 / 2014-10 / 59.00元,9.4,15038,人们是如何思索、影响他人并与他人建立联系的,https://book.douban.com/subject/25935941/
135,天生有罪,[南非] 特雷弗·诺亚 / 董帅 / 北京联合出版公司 / 2018-2-1 / 58.00,9.1,21787,在法治国家里，民众怎样运用法律,https://book.douban.com/subject/30125030/
136,李光耀观天下,李光耀 / 北京大学出版社 / 2015-6 / 58.00元,9.2,15300,日常的奇迹,https://book.douban.com/subject/26413154/
137,倾城之恋,张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.80元,8.9,41717,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,https://book.douban.com/subject/10757940/
138,亲密关系（第6版）,[美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译 / 人民邮电出版社 / 2015-6 / 138.00元,9.2,28004,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,https://book.douban.com/subject/26585065/
139,大明王朝1566,刘和平 / 花城出版社 / 2016-7 / 88.00元,9.5,13745,这是一个最好的时代，也是一个最坏的时代,https://book.douban.com/subject/26925171/
140,雕刻时光,[苏] 安德烈·塔可夫斯基 / 张晓东 / 南海出版公司 / 2016-5 / 45.00元,9.5,9819,人类历史上最早的乌托邦,https://book.douban.com/subject/26435510/
141,情书,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6,108775,一场同名同姓的误会，两段可贵的爱情,https://book.douban.com/subject/1080370/
142,荒原狼,[德]赫尔曼·黑塞 / 赵登荣 / 上海译文出版社 / 2008-7 / 13.00,9.0,24313,“超现实主义”风格作品，德国的《尤利西斯》,https://book.douban.com/subject/3131626/
143,倚天屠龙记,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00,8.7,63237,不识张郎是张郎,https://book.douban.com/subject/1070851/
144,万物有灵且美,[英] 吉米·哈利 / 种衍伦 / 中国城市出版社 / 2010-1 / 28.80,8.9,23628,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,https://book.douban.com/subject/4187411/
145,足利女童连续失踪事件,[日] 清水洁 / 曾玉婷 / 文汇出版社 / 2022-7 / 49.00元,9.0,24759,,https://book.douban.com/subject/35776315/
146,当呼吸化为空气,[美] 保罗·卡拉尼什 / 何雨珈 / 浙江文艺出版社 / 2016-12 / 48.00元,8.9,30440,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,https://book.douban.com/subject/26896859/
147,尼罗河上的惨案,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,8.7,51129,阿加莎·克里斯蒂代表作,https://book.douban.com/subject/1818347/
148,帷幕,[英]阿加莎·克里斯蒂 / 李杨 / 新星出版社 / 2015-2 / 26.00,9.1,17564,我国最古老最杰出的一部兵书,https://book.douban.com/subject/26292535/
