排名,书名,简介,作者,评分,评分人数,链接
128,斯通纳,即使不能拥有完美的生活，所幸追求过完整的自我,[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元,8.8,66756人评价,https://book.douban.com/subject/26425831/
129,十万个为什么,无简介,少年儿童出版社 / 1962 / 30.00元,9.2,20607人评价,https://book.douban.com/subject/2160556/
130,人间草木,我就是要这样香，香得痛痛快快,汪曾祺 / 江苏文艺出版社 / 2005-01 / 20.00元,9.2,34121人评价,https://book.douban.com/subject/1253310/
131,时间简史,探索时间和空间的核心秘密,[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元,8.9,63554人评价,https://book.douban.com/subject/1034282/
132,梦里花落知多少,哀而不伤,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,8.8,99058人评价,https://book.douban.com/subject/2070844/
133,面纱,无简介,[英] 威廉·萨默塞特·毛姆 / 于大卫 / 江西人民出版社 / 2016-4-1 / 39.8元,9.0,43345人评价,https://book.douban.com/subject/26757680/
134,平面国,无简介,[英] 埃德温·A.艾勃特 / 鲁冬旭 / 上海文化出版社 / 2020-8 / 39.80元,9.2,24891人评价,https://book.douban.com/subject/35170896/
135,这些人，那些事,平淡叙述下的惊心动魄,吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8,68266人评价,https://book.douban.com/subject/6388661/
136,王尔德童话,一颗纯美纯善、永难泯灭的童心,[英] 王尔德 / 王林 / 译林出版社 / 2003-6 / 6.00元,9.1,24628人评价,https://book.douban.com/subject/1119839/
137,13 67,无简介,陳浩基 / 皇冠文化出版有限公司 / 2014-6-9 / NT$350,9.1,23455人评价,https://book.douban.com/subject/25897884/
138,金色梦乡,伊坂幸太郎代表作,[日] 伊坂幸太郎 / 李彦桦 / 译林出版社 / 2010-9 / 35.00元,9.0,31751人评价,https://book.douban.com/subject/5038409/
139,小径分岔的花园,一个谜语，谜底正是时间,[阿根廷] 豪·路·博尔赫斯 / 王永年 / 上海译文出版社 / 2015-7 / 23.00,8.9,49469人评价,https://book.douban.com/subject/25796120/
140,我的天才女友,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,8.7,121725人评价,https://book.douban.com/subject/26878124/
141,一句顶一万句,一句胜过千年,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,8.8,89376人评价,https://book.douban.com/subject/3633461/
142,昨日的世界,无简介,[奥] 斯特凡·茨威格 / 徐友敬 / 上海译文出版社 / 2018-7 / 49.00元,9.4,16298人评价,https://book.douban.com/subject/27615361/
143,绿毛水怪,我们好象在池塘的水底，从一个月亮走向另一个月亮,王小波 / 时代文艺出版社 / 2009-1 / 30.00元,9.1,25912人评价,https://book.douban.com/subject/3518332/
144,2001：太空漫游,无简介,[英] 阿瑟·克拉克 / 郝明义 / 上海文艺出版社 / 2019-4-10 / 62.00元,9.3,23576人评价,https://book.douban.com/subject/30471298/
145,檀香刑,无简介,莫言 / 浙江文艺出版社 / 2017-1 / 56.00元,9.3,34737人评价,https://book.douban.com/subject/26905337/
146,你当像鸟飞往你的山,我来自一个极少有人能想象的家庭，教育给了我新世界,塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元,8.7,199641人评价,https://book.douban.com/subject/33440205/
147,海的女儿,无简介,安徒生 / 叶君健 / 上海译文出版社 / 1978年6月 / 0.43,9.1,25282人评价,https://book.douban.com/subject/1765512/
148,长日将尽,无简介,[英] 石黑一雄 / 冯涛 / 上海译文出版社 / 2018-5 / 48,8.9,39544人评价,https://book.douban.com/subject/30142261/
149,地下室手记,无简介,(俄罗斯) 陀思妥耶夫斯基 / 曾思艺 / 浙江文艺出版社 / 2020-5 / 39.8,9.2,28053人评价,https://book.douban.com/subject/34990839/
150,國史大綱（上下）,钱穆中国通史,錢穆 / 商务印书馆 / 2013-8 / 76.00元,9.4,16758人评价,https://book.douban.com/subject/1046492/
151,故事,材质、结构、风格和银幕剧作的原理,[美] 罗伯特·麦基 / 周铁东 / 天津人民出版社 / 2014-9 / 68.00元,9.2,20251人评价,https://book.douban.com/subject/25976544/
